epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,14103.6,1.13588,0.73101,0.96486,0.79027,0.79083,0.78494,0.54899,1.07285,0.64628,0.90918,0.00404094,0.00404094,0.00404094
157,14191,1.0724,0.88595,0.89897,0.8236,0.79201,0.81592,0.5766,1.05857,0.62342,0.90909,0.00403475,0.00403475,0.00403475
158,14280.3,1.17793,0.69513,0.96532,0.79887,0.80979,0.80161,0.58123,1.05887,0.62758,0.89959,0.00402856,0.00402856,0.00402856
159,14369.3,1.17932,0.67133,0.96815,0.81664,0.77738,0.79333,0.57626,1.01629,0.59671,0.8901,0.00402237,0.00402237,0.00402237
160,14459.1,1.19227,0.69213,0.96481,0.8329,0.79021,0.8029,0.57949,1.08064,0.63081,0.91182,0.00401619,0.00401619,0.00401619
161,14548.9,1.18085,0.69978,0.96185,0.81273,0.78102,0.78797,0.5613,1.10349,0.61035,0.9308,0.00401,0.00401,0.00401
162,14639.3,1.19152,0.66061,0.97032,0.76089,0.62582,0.64544,0.40538,1.18992,0.72226,0.95319,0.00400381,0.00400381,0.00400381
163,14730.8,1.21581,0.73754,0.98932,0.86032,0.76625,0.79854,0.57799,1.06846,0.64513,0.90317,0.00399763,0.00399763,0.00399763
164,14819.9,1.21932,0.74099,0.96777,0.8322,0.77649,0.79581,0.57363,1.07017,0.64658,0.90232,0.00399144,0.00399144,0.00399144
165,14908.4,1.14128,0.65994,0.95806,0.76675,0.78684,0.78847,0.56142,1.0504,0.65962,0.89455,0.00398525,0.00398525,0.00398525
166,14998.3,1.215,0.76564,1.00191,0.84756,0.74209,0.79037,0.54494,1.18116,0.67647,0.92003,0.00397906,0.00397906,0.00397906
167,15088.1,1.20343,0.72403,1.03179,0.84576,0.79471,0.80627,0.56671,1.10598,0.64216,0.90941,0.00397287,0.00397287,0.00397287
168,15179.6,1.15228,0.66364,0.94908,0.83533,0.80848,0.80358,0.59428,1.10574,0.63841,0.9088,0.00396669,0.00396669,0.00396669
169,15270.1,1.17941,0.65471,0.95793,0.85057,0.79884,0.81073,0.59651,1.07904,0.64063,0.89877,0.0039605,0.0039605,0.0039605
170,15358.3,1.19109,0.65015,0.96658,0.81955,0.83937,0.81857,0.60547,1.04589,0.61214,0.89267,0.00395431,0.00395431,0.00395431
171,15447.7,1.1556,0.66774,0.95964,0.79487,0.82448,0.80915,0.59171,1.0534,0.61399,0.89274,0.00394813,0.00394813,0.00394813
